,layer,alpha,intervs,success_rate
0,0,0.25,0,0.0
1,0,0.25,1,0.0
2,0,0.25,2,0.01
3,0,0.25,3,0.015
4,0,0.5,0,0.0
5,0,0.5,1,0.0
6,0,0.5,2,0.015
7,0,0.5,3,0.035
8,0,1.0,0,0.0
9,0,1.0,1,0.01
10,0,1.0,2,0.04
11,0,1.0,3,0.095
12,0,2.0,0,0.0
13,0,2.0,1,0.015
14,0,2.0,2,0.105
15,0,2.0,3,0.175
16,0,4.0,0,0.0
17,0,4.0,1,0.015
18,0,4.0,2,0.12
19,0,4.0,3,0.15
20,1,0.25,0,0.0
21,1,0.25,1,0.0
22,1,0.25,2,0.005
23,1,0.25,3,0.01
24,1,0.5,0,0.0
25,1,0.5,1,0.0
26,1,0.5,2,0.015
27,1,0.5,3,0.025
28,1,1.0,0,0.0
29,1,1.0,1,0.005
30,1,1.0,2,0.025
31,1,1.0,3,0.045
32,1,2.0,0,0.0
33,1,2.0,1,0.01
34,1,2.0,2,0.02
35,1,2.0,3,0.06
36,1,4.0,0,0.0
37,1,4.0,1,0.01
38,1,4.0,2,0.02
39,1,4.0,3,0.09
40,2,0.25,0,0.0
41,2,0.25,1,0.005
42,2,0.25,2,0.01
43,2,0.25,3,0.02
44,2,0.5,0,0.0
45,2,0.5,1,0.005
46,2,0.5,2,0.02
47,2,0.5,3,0.03
48,2,1.0,0,0.0
49,2,1.0,1,0.015
50,2,1.0,2,0.02
51,2,1.0,3,0.04
52,2,2.0,0,0.0
53,2,2.0,1,0.015
54,2,2.0,2,0.025
55,2,2.0,3,0.045
56,2,4.0,0,0.0
57,2,4.0,1,0.015
58,2,4.0,2,0.025
59,2,4.0,3,0.065
60,3,0.25,0,0.0
61,3,0.25,1,0.0
62,3,0.25,2,0.0
63,3,0.25,3,0.0
64,3,0.5,0,0.0
65,3,0.5,1,0.0
66,3,0.5,2,0.0
67,3,0.5,3,0.0
68,3,1.0,0,0.0
69,3,1.0,1,0.0
70,3,1.0,2,0.0
71,3,1.0,3,0.0
72,3,2.0,0,0.0
73,3,2.0,1,0.0
74,3,2.0,2,0.0
75,3,2.0,3,0.0
76,3,4.0,0,0.0
77,3,4.0,1,0.0
78,3,4.0,2,0.0
79,3,4.0,3,0.0
80,4,0.25,0,0.0
81,4,0.25,1,0.0
82,4,0.25,2,0.0
83,4,0.25,3,0.0
84,4,0.5,0,0.0
85,4,0.5,1,0.0
86,4,0.5,2,0.0
87,4,0.5,3,0.0
88,4,1.0,0,0.0
89,4,1.0,1,0.0
90,4,1.0,2,0.0
91,4,1.0,3,0.01
92,4,2.0,0,0.0
93,4,2.0,1,0.0
94,4,2.0,2,0.0
95,4,2.0,3,0.005
96,4,4.0,0,0.0
97,4,4.0,1,0.0
98,4,4.0,2,0.0
99,4,4.0,3,0.005
100,5,0.25,0,0.0
101,5,0.25,1,0.005
102,5,0.25,2,0.005
103,5,0.25,3,0.005
104,5,0.5,0,0.0
105,5,0.5,1,0.005
106,5,0.5,2,0.005
107,5,0.5,3,0.01
108,5,1.0,0,0.0
109,5,1.0,1,0.005
110,5,1.0,2,0.0
111,5,1.0,3,0.0
112,5,2.0,0,0.0
113,5,2.0,1,0.0
114,5,2.0,2,0.0
115,5,2.0,3,0.005
116,5,4.0,0,0.0
117,5,4.0,1,0.0
118,5,4.0,2,0.0
119,5,4.0,3,0.0
