,layer,alpha,success_rate,intervs
0,0,0.25,0.055,1
1,0,0.5,0.21,1
2,0,1.0,0.61,1
3,0,2.0,0.785,1
4,0,4.0,0.815,1
5,1,0.25,0.09,1
6,1,0.5,0.35,1
7,1,1.0,0.78,1
8,1,2.0,0.87,1
9,1,4.0,0.93,1
10,2,0.25,0.055,1
11,2,0.5,0.145,1
12,2,1.0,0.335,1
13,2,2.0,0.27,1
14,2,4.0,0.245,1
15,3,0.25,0.04,1
16,3,0.5,0.055,1
17,3,1.0,0.115,1
18,3,2.0,0.265,1
19,3,4.0,0.465,1
20,4,0.25,0.02,1
21,4,0.5,0.065,1
22,4,1.0,0.455,1
23,4,2.0,0.285,1
24,4,4.0,0.34,1
25,5,0.25,0.025,1
26,5,0.5,0.065,1
27,5,1.0,0.065,1
28,5,2.0,0.145,1
29,5,4.0,0.2,1
