,layer,alpha,success_rate,intervs
0,0,0.25,0.0,0
1,0,0.5,0.0,0
2,0,1.0,0.0,0
3,0,2.0,0.0,0
4,0,4.0,0.0,0
5,0,0.25,0.025,1
6,0,0.5,0.075,1
7,0,1.0,0.14,1
8,0,2.0,0.22,1
9,0,4.0,0.24,1
10,0,0.25,0.095,2
11,0,0.5,0.245,2
12,0,1.0,0.455,2
13,0,2.0,0.565,2
14,0,4.0,0.535,2
15,0,0.25,0.16,3
16,0,0.5,0.51,3
17,0,1.0,0.685,3
18,0,2.0,0.655,3
19,0,4.0,0.59,3
20,1,0.25,0.0,0
21,1,0.5,0.0,0
22,1,1.0,0.0,0
23,1,2.0,0.0,0
24,1,4.0,0.0,0
25,1,0.25,0.005,1
26,1,0.5,0.025,1
27,1,1.0,0.045,1
28,1,2.0,0.075,1
29,1,4.0,0.125,1
30,1,0.25,0.045,2
31,1,0.5,0.09,2
32,1,1.0,0.155,2
33,1,2.0,0.235,2
34,1,4.0,0.27,2
35,1,0.25,0.075,3
36,1,0.5,0.205,3
37,1,1.0,0.37,3
38,1,2.0,0.435,3
39,1,4.0,0.435,3
40,2,0.25,0.0,0
41,2,0.5,0.0,0
42,2,1.0,0.0,0
43,2,2.0,0.0,0
44,2,4.0,0.0,0
45,2,0.25,0.01,1
46,2,0.5,0.02,1
47,2,1.0,0.1,1
48,2,2.0,0.12,1
49,2,4.0,0.145,1
50,2,0.25,0.03,2
51,2,0.5,0.08,2
52,2,1.0,0.22,2
53,2,2.0,0.22,2
54,2,4.0,0.25,2
55,2,0.25,0.08,3
56,2,0.5,0.17,3
57,2,1.0,0.295,3
58,2,2.0,0.27,3
59,2,4.0,0.215,3
60,3,0.25,0.0,0
61,3,0.5,0.0,0
62,3,1.0,0.0,0
63,3,2.0,0.0,0
64,3,4.0,0.0,0
65,3,0.25,0.0,1
66,3,0.5,0.01,1
67,3,1.0,0.015,1
68,3,2.0,0.06,1
69,3,4.0,0.085,1
70,3,0.25,0.01,2
71,3,0.5,0.015,2
72,3,1.0,0.045,2
73,3,2.0,0.09,2
74,3,4.0,0.11,2
75,3,0.25,0.015,3
76,3,0.5,0.02,3
77,3,1.0,0.045,3
78,3,2.0,0.11,3
79,3,4.0,0.1,3
80,4,0.25,0.0,0
81,4,0.5,0.0,0
82,4,1.0,0.0,0
83,4,2.0,0.0,0
84,4,4.0,0.0,0
85,4,0.25,0.0,1
86,4,0.5,0.01,1
87,4,1.0,0.055,1
88,4,2.0,0.15,1
89,4,4.0,0.175,1
90,4,0.25,0.015,2
91,4,0.5,0.03,2
92,4,1.0,0.12,2
93,4,2.0,0.185,2
94,4,4.0,0.215,2
95,4,0.25,0.005,3
96,4,0.5,0.055,3
97,4,1.0,0.18,3
98,4,2.0,0.205,3
99,4,4.0,0.145,3
100,5,0.25,0.0,0
101,5,0.5,0.0,0
102,5,1.0,0.0,0
103,5,2.0,0.0,0
104,5,4.0,0.0,0
105,5,0.25,0.0,1
106,5,0.5,0.01,1
107,5,1.0,0.015,1
108,5,2.0,0.04,1
109,5,4.0,0.035,1
110,5,0.25,0.0,2
111,5,0.5,0.0,2
112,5,1.0,0.01,2
113,5,2.0,0.02,2
114,5,4.0,0.005,2
115,5,0.25,0.01,3
116,5,0.5,0.01,3
117,5,1.0,0.01,3
118,5,2.0,0.005,3
119,5,4.0,0.01,3
